Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAPHITE,EQ,23-Jul-19,263.35,263,273.55,263,271.45,271,269.85,1414217,381632984.1,30015,313185,22.15
GRAPHITE,EQ,24-Jul-19,271,273,284,272.5,280.6,281.85,279.44,1390048,388431837.1,33564,425458,30.61
GRAPHITE,EQ,25-Jul-19,281.85,283.3,298.6,282.15,295.3,293.35,291.49,1500333,437333756.3,41556,391391,26.09
GRAPHITE,EQ,26-Jul-19,293.35,295,322.5,293.6,319,319.95,313.97,3961909,1243926691,81362,631932,15.95
GRAPHITE,EQ,29-Jul-19,319.95,320.95,340.8,320.45,331,333.45,332.76,3387937,1127364334,70476,584555,17.25
GRAPHITE,EQ,30-Jul-19,333.45,332.8,332.8,303.2,305,308.7,319.94,1553221,496931278.4,32305,372064,23.95
GRAPHITE,EQ,31-Jul-19,308.7,302,315.9,290.55,307,307.75,305.2,2125682,648752786,46118,304071,14.3
GRAPHITE,EQ,1-Aug-19,307.75,304.8,319.75,302,308.35,308,312.23,1521388,475027575.5,40495,325827,21.42
GRAPHITE,EQ,2-Aug-19,308,303.9,312,294.1,296,297.1,302.4,1428340,431930601.9,37436,331436,23.2
GRAPHITE,EQ,5-Aug-19,297.1,292.95,294.85,283.4,286.55,287.05,289.15,917861,265396785.9,24018,208077,22.67
GRAPHITE,EQ,6-Aug-19,287.05,286.05,306.4,285.7,306.25,303.55,301.2,1361527,410094217,30506,332162,24.4
GRAPHITE,EQ,7-Aug-19,303.55,306.55,324,305.8,316.3,315.25,317.53,1614562,512679513.2,36451,446628,27.66
GRAPHITE,EQ,8-Aug-19,315.25,316,325,310.2,321.05,320.25,318.27,880019,280080433.5,19301,202753,23.04
GRAPHITE,EQ,9-Aug-19,320.25,322,328.7,315,315.25,316.2,320.01,804973,257595676.1,18111,269754,33.51
GRAPHITE,EQ,13-Aug-19,316.2,282.1,303.6,281.8,292,292,295.07,1722028,508122330,39530,580209,33.69
GRAPHITE,EQ,14-Aug-19,292,295.3,301,285.1,288.6,290.85,294.18,2137819,628900303.1,55347,566698,26.51
GRAPHITE,EQ,16-Aug-19,290.85,284.75,291.85,284,289.15,289.1,289.19,832645,240789207.5,28388,275942,33.14
GRAPHITE,EQ,19-Aug-19,289.1,290.75,296.95,290,292.15,292.35,293.23,926016,271537758.3,23775,317753,34.31
GRAPHITE,EQ,20-Aug-19,292.35,292.5,294.9,289.1,291.75,291.65,292.63,647507,189479389.3,15025,182250,28.15
GRAPHITE,EQ,21-Aug-19,291.65,292.95,293.75,280.85,282.05,286.5,290.17,983216,285296648.4,22803,282851,28.77
GRAPHITE,EQ,22-Aug-19,286.5,283,286.6,275.1,276.5,276.5,281.29,890842,250585932.3,27459,363670,40.82
